id,name,icd_code,specialty,description,severity,chronic,treatment_available,prevalence
569,Drug-Induced Pulmonary Tuberculosis,A15.X,Pulmonology,"Drug-Induced Pulmonary Tuberculosis (ICD-10: A15.X) is a clinical diagnosis managed under Pulmonology. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Mild,Variable,Supportive,Uncommon
570,Mild Pneumonia in Children,J18.9.X,Pediatrics,"Mild Pneumonia in Children (ICD-10: J18.9.X) is a clinical diagnosis managed under Pediatrics. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Moderate,No,Curative,Common
571,Late-Onset Otitis Media Type 3,H65.X,ENT,"Late-Onset Otitis Media Type 3 (ICD-10: H65.X) is a clinical diagnosis managed under ENT. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Severe,Yes,Yes,Very Common
572,Mild Leukemia Type 4,C91.X,Dermatology,"Mild Leukemia Type 4 (ICD-10: C91.X) is a clinical diagnosis managed under Dermatology. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Moderate,Variable,Curative,Very Common
573,Autoimmune Acute Pancreatitis,K85.X,Gastroenterology,"Autoimmune Acute Pancreatitis (ICD-10: K85.X) is a clinical diagnosis managed under Gastroenterology. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Variable,No,Yes,Rare
574,Acute Myocardial Infarction,I21,Cardiology,"Acute Myocardial Infarction (ICD-10: I21) is a clinical diagnosis managed under Cardiology. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Severe,Variable,Supportive,Uncommon
575,Moderate Ulcerative Colitis,K51.X,Gastroenterology,"Moderate Ulcerative Colitis (ICD-10: K51.X) is a clinical diagnosis managed under Gastroenterology. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Variable,Variable,Supportive,Uncommon
576,Congenital Urticaria,L50.X,Dermatology,"Congenital Urticaria (ICD-10: L50.X) is a clinical diagnosis managed under Dermatology. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Moderate,No,Yes,Very Common
577,Bell's Palsy,G51.0,Neurology,"Bell's Palsy (ICD-10: G51.0) is a clinical diagnosis managed under Neurology. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Moderate,No,Supportive,Common
578,Autoimmune Hypoparathyroidism,E20.X,Endocrinology,"Autoimmune Hypoparathyroidism (ICD-10: E20.X) is a clinical diagnosis managed under Endocrinology. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Severe,Variable,Curative,Very Common
579,Aplastic Anemia,D61,Hematology,"Aplastic Anemia (ICD-10: D61) is a clinical diagnosis managed under Hematology. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Moderate,No,Supportive,Common
580,Recurrent Osteoarthritis Type 4,M19.X,Rheumatology,"Recurrent Osteoarthritis Type 4 (ICD-10: M19.X) is a clinical diagnosis managed under Rheumatology. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Moderate,Variable,Supportive,Rare
581,Drug-Induced Atrial Fibrillation,I48.X,Cardiology,"Drug-Induced Atrial Fibrillation (ICD-10: I48.X) is a clinical diagnosis managed under Cardiology. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Severe,No,Supportive,Very Common
582,Autoimmune Vitamin B12 Deficiency Anemia Type 2,D51.X,Hematology,"Autoimmune Vitamin B12 Deficiency Anemia Type 2 (ICD-10: D51.X) is a clinical diagnosis managed under Hematology. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Variable,No,Supportive,Very Common
583,Secondary HIV/AIDS Type 3,B20.X,Infectious Disease,"Secondary HIV/AIDS Type 3 (ICD-10: B20.X) is a clinical diagnosis managed under Infectious Disease. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Mild,Variable,Yes,Very Common
584,Chronic Psoriatic Arthritis,L40.5.X,Rheumatology,"Chronic Psoriatic Arthritis (ICD-10: L40.5.X) is a clinical diagnosis managed under Rheumatology. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Mild,Yes,Curative,Rare
585,Severe Meningitis,G03.X,Neurology,"Severe Meningitis (ICD-10: G03.X) is a clinical diagnosis managed under Neurology. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Moderate,Variable,Curative,Rare
586,Idiopathic Intestinal Obstruction,K56.X,General Surgery,"Idiopathic Intestinal Obstruction (ICD-10: K56.X) is a clinical diagnosis managed under General Surgery. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Moderate,Variable,Curative,Rare
587,Post-Operative Vitamin B12 Deficiency Anemia,D51.X,Hematology,"Post-Operative Vitamin B12 Deficiency Anemia (ICD-10: D51.X) is a clinical diagnosis managed under Hematology. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Mild,No,Yes,Very Common
588,Chronic Acute Pancreatitis,K85.X,Gastroenterology,"Chronic Acute Pancreatitis (ICD-10: K85.X) is a clinical diagnosis managed under Gastroenterology. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Mild,No,Curative,Very Common
589,Chronic Epilepsy,G40.X,Neurology,"Chronic Epilepsy (ICD-10: G40.X) is a clinical diagnosis managed under Neurology. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Mild,Yes,Yes,Rare
590,Drug-Induced Pericarditis,I30.X,Cardiology,"Drug-Induced Pericarditis (ICD-10: I30.X) is a clinical diagnosis managed under Cardiology. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Mild,No,Curative,Common
591,Renal Cell Carcinoma,C64,Urology,"Renal Cell Carcinoma (ICD-10: C64) is a clinical diagnosis managed under Urology. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Severe,Variable,Supportive,Rare
592,Post-Operative Type 1 Diabetes Mellitus,E10.X,Endocrinology,"Post-Operative Type 1 Diabetes Mellitus (ICD-10: E10.X) is a clinical diagnosis managed under Endocrinology. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Mild,Yes,Curative,Common
593,Moderate Ventricular Tachycardia,I47.2.X,Cardiology,"Moderate Ventricular Tachycardia (ICD-10: I47.2.X) is a clinical diagnosis managed under Cardiology. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Moderate,Variable,Yes,Very Common
594,Congenital Interstitial Lung Disease,J84.X,Pulmonology,"Congenital Interstitial Lung Disease (ICD-10: J84.X) is a clinical diagnosis managed under Pulmonology. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Moderate,Yes,Curative,Uncommon
595,Late-Onset Attention Deficit Hyperactivity Disorder,F90.X,Psychiatry,"Late-Onset Attention Deficit Hyperactivity Disorder (ICD-10: F90.X) is a clinical diagnosis managed under Psychiatry. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Severe,Variable,Supportive,Common
596,Late-Onset Bronchiectasis Type 4,J47.X,Pulmonology,"Late-Onset Bronchiectasis Type 4 (ICD-10: J47.X) is a clinical diagnosis managed under Pulmonology. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Variable,Variable,Curative,Uncommon
597,Secondary Peripheral Arterial Disease,I73.9.X,Cardiology,"Secondary Peripheral Arterial Disease (ICD-10: I73.9.X) is a clinical diagnosis managed under Cardiology. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Mild,Yes,Yes,Uncommon
598,Severe Lumbar Disc Herniation,M51.1.X,Orthopedics,"Severe Lumbar Disc Herniation (ICD-10: M51.1.X) is a clinical diagnosis managed under Orthopedics. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Mild,Variable,Yes,Uncommon
599,Idiopathic Pneumonia in Children,J18.9.X,Pediatrics,"Idiopathic Pneumonia in Children (ICD-10: J18.9.X) is a clinical diagnosis managed under Pediatrics. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Moderate,Yes,Supportive,Common
600,Early-Onset Systemic Lupus Erythematosus Type 4,M32.X,Rheumatology,"Early-Onset Systemic Lupus Erythematosus Type 4 (ICD-10: M32.X) is a clinical diagnosis managed under Rheumatology. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Variable,No,Yes,Common
601,Cholelithiasis,K80,General Surgery,"Cholelithiasis (ICD-10: K80) is a clinical diagnosis managed under General Surgery. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Severe,No,Supportive,Uncommon
602,Otitis Media,H65,ENT,"Otitis Media (ICD-10: H65) is a clinical diagnosis managed under ENT. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Moderate,Variable,Supportive,Very Common
603,Idiopathic Ischemic Stroke,I63.X,Neurology,"Idiopathic Ischemic Stroke (ICD-10: I63.X) is a clinical diagnosis managed under Neurology. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Mild,No,Yes,Common
604,Severe Lung Cancer Type 4,C34.X,Oncology,"Severe Lung Cancer Type 4 (ICD-10: C34.X) is a clinical diagnosis managed under Oncology. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Moderate,Yes,Curative,Uncommon
605,Post-Operative Endometriosis Type 1,N80.X,Gynecology,"Post-Operative Endometriosis Type 1 (ICD-10: N80.X) is a clinical diagnosis managed under Gynecology. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Moderate,Variable,Curative,Uncommon
606,Post-Operative Acromegaly,E22.0.X,Endocrinology,"Post-Operative Acromegaly (ICD-10: E22.0.X) is a clinical diagnosis managed under Endocrinology. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Variable,No,Supportive,Rare
607,Secondary Melanoma,C43.X,General Surgery,"Secondary Melanoma (ICD-10: C43.X) is a clinical diagnosis managed under General Surgery. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Mild,Variable,Supportive,Rare
608,Congenital Atrial Fibrillation,I48.X,Cardiology,"Congenital Atrial Fibrillation (ICD-10: I48.X) is a clinical diagnosis managed under Cardiology. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Severe,No,Supportive,Common
609,Idiopathic Rosacea,L71.X,Dermatology,"Idiopathic Rosacea (ICD-10: L71.X) is a clinical diagnosis managed under Dermatology. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Variable,No,Supportive,Uncommon
610,Drug-Induced COPD,J44.X,Pulmonology,"Drug-Induced COPD (ICD-10: J44.X) is a clinical diagnosis managed under Pulmonology. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Mild,No,Supportive,Common
611,Tonsillitis,J35.0,ENT,"Tonsillitis (ICD-10: J35.0) is a clinical diagnosis managed under ENT. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Variable,Yes,Curative,Rare
612,Sinusitis,J32,ENT,"Sinusitis (ICD-10: J32) is a clinical diagnosis managed under ENT. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Mild,Variable,Curative,Very Common
613,Congenital Acute Pancreatitis,K85.X,Gastroenterology,"Congenital Acute Pancreatitis (ICD-10: K85.X) is a clinical diagnosis managed under Gastroenterology. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Mild,No,Yes,Very Common
614,Autoimmune Respiratory Failure,J96.X,Critical Care,"Autoimmune Respiratory Failure (ICD-10: J96.X) is a clinical diagnosis managed under Critical Care. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Variable,No,Yes,Uncommon
615,Chronic Fibromyalgia Type 3,M79.7.X,Rheumatology,"Chronic Fibromyalgia Type 3 (ICD-10: M79.7.X) is a clinical diagnosis managed under Rheumatology. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Severe,Variable,Curative,Uncommon
616,Secondary Hepatitis B Type 4,B16.X,Hepatology,"Secondary Hepatitis B Type 4 (ICD-10: B16.X) is a clinical diagnosis managed under Hepatology. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Severe,Variable,Curative,Very Common
617,Late-Onset Lymphoma,C85.X,Ophthalmology,"Late-Onset Lymphoma (ICD-10: C85.X) is a clinical diagnosis managed under Ophthalmology. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Mild,Yes,Curative,Uncommon
618,Mild Trigeminal Neuralgia Type 2,G50.0.X,Neurology,"Mild Trigeminal Neuralgia Type 2 (ICD-10: G50.0.X) is a clinical diagnosis managed under Neurology. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Severe,Variable,Curative,Rare
619,Acute Urticaria,L50.X,Dermatology,"Acute Urticaria (ICD-10: L50.X) is a clinical diagnosis managed under Dermatology. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Variable,Variable,Yes,Rare
620,Secondary Attention Deficit Hyperactivity Disorder,F90.X,Psychiatry,"Secondary Attention Deficit Hyperactivity Disorder (ICD-10: F90.X) is a clinical diagnosis managed under Psychiatry. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Severe,No,Yes,Very Common
621,Moderate Lymphoma,C85.X,Gynecology,"Moderate Lymphoma (ICD-10: C85.X) is a clinical diagnosis managed under Gynecology. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Variable,Variable,Curative,Uncommon
622,Recurrent Acute Respiratory Distress Syndrome,J80.X,Critical Care,"Recurrent Acute Respiratory Distress Syndrome (ICD-10: J80.X) is a clinical diagnosis managed under Critical Care. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Severe,Yes,Curative,Rare
623,Peptic Ulcer Disease,K27,Gastroenterology,"Peptic Ulcer Disease (ICD-10: K27) is a clinical diagnosis managed under Gastroenterology. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Severe,Variable,Curative,Very Common
624,Premature Labor,O60,Obstetrics,"Premature Labor (ICD-10: O60) is a clinical diagnosis managed under Obstetrics. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Mild,Yes,Yes,Uncommon
625,Congenital Allergic Rhinitis Type 1,J30.X,ENT,"Congenital Allergic Rhinitis Type 1 (ICD-10: J30.X) is a clinical diagnosis managed under ENT. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Moderate,Yes,Curative,Common
626,Congenital Alzheimer's Disease,G30.X,Neurology,"Congenital Alzheimer's Disease (ICD-10: G30.X) is a clinical diagnosis managed under Neurology. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Variable,Variable,Supportive,Rare
627,Primary Ovarian Cancer,C56.X,Rheumatology,"Primary Ovarian Cancer (ICD-10: C56.X) is a clinical diagnosis managed under Rheumatology. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Moderate,Yes,Yes,Very Common
628,Post-Operative Stable Angina Pectoris,I20.X,Cardiology,"Post-Operative Stable Angina Pectoris (ICD-10: I20.X) is a clinical diagnosis managed under Cardiology. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Variable,Yes,Yes,Rare
629,Mild Parkinson's Disease,G20.X,Neurology,"Mild Parkinson's Disease (ICD-10: G20.X) is a clinical diagnosis managed under Neurology. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Mild,Yes,Curative,Common
630,Secondary Hepatitis B Type 2,B16.X,Hepatology,"Secondary Hepatitis B Type 2 (ICD-10: B16.X) is a clinical diagnosis managed under Hepatology. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Variable,No,Curative,Common
631,Primary Alzheimer's Disease,G30.X,Neurology,"Primary Alzheimer's Disease (ICD-10: G30.X) is a clinical diagnosis managed under Neurology. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Moderate,No,Yes,Very Common
632,Secondary Pulmonary Tuberculosis,A15.X,Pulmonology,"Secondary Pulmonary Tuberculosis (ICD-10: A15.X) is a clinical diagnosis managed under Pulmonology. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Variable,Yes,Curative,Uncommon
633,Contact Dermatitis,L25,Dermatology,"Contact Dermatitis (ICD-10: L25) is a clinical diagnosis managed under Dermatology. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Moderate,No,Supportive,Very Common
634,Primary Cervical Spondylosis,M47.8.X,Orthopedics,"Primary Cervical Spondylosis (ICD-10: M47.8.X) is a clinical diagnosis managed under Orthopedics. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Severe,Yes,Yes,Uncommon
635,Severe Major Depressive Disorder,F32.X,Psychiatry,"Severe Major Depressive Disorder (ICD-10: F32.X) is a clinical diagnosis managed under Psychiatry. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Variable,Variable,Yes,Common
636,Congenital Bell's Palsy,G51.0.X,Neurology,"Congenital Bell's Palsy (ICD-10: G51.0.X) is a clinical diagnosis managed under Neurology. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Mild,Variable,Curative,Common
637,Glomerulonephritis,N05.9,Nephrology,"Glomerulonephritis (ICD-10: N05.9) is a clinical diagnosis managed under Nephrology. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Moderate,Yes,Yes,Common
638,Late-Onset Glomerulonephritis,N05.9.X,Nephrology,"Late-Onset Glomerulonephritis (ICD-10: N05.9.X) is a clinical diagnosis managed under Nephrology. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Severe,No,Curative,Common
639,Deep Vein Thrombosis,I82.4,Vascular Surgery,"Deep Vein Thrombosis (ICD-10: I82.4) is a clinical diagnosis managed under Vascular Surgery. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Severe,Yes,Curative,Very Common
640,Sickle Cell Disease,D57,Hematology,"Sickle Cell Disease (ICD-10: D57) is a clinical diagnosis managed under Hematology. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Moderate,Yes,Curative,Very Common
641,Chronic Irritable Bowel Syndrome,K58.X,Gastroenterology,"Chronic Irritable Bowel Syndrome (ICD-10: K58.X) is a clinical diagnosis managed under Gastroenterology. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Severe,No,Curative,Uncommon
642,Severe Cholelithiasis,K80.X,General Surgery,"Severe Cholelithiasis (ICD-10: K80.X) is a clinical diagnosis managed under General Surgery. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Mild,No,Supportive,Very Common
643,Secondary Post-Traumatic Stress Disorder,F43.1.X,Psychiatry,"Secondary Post-Traumatic Stress Disorder (ICD-10: F43.1.X) is a clinical diagnosis managed under Psychiatry. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Mild,Variable,Yes,Uncommon
644,Mild Urinary Tract Infection,N39.0.X,Urology,"Mild Urinary Tract Infection (ICD-10: N39.0.X) is a clinical diagnosis managed under Urology. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Severe,Yes,Yes,Very Common
645,Idiopathic Interstitial Lung Disease,J84.X,Pulmonology,"Idiopathic Interstitial Lung Disease (ICD-10: J84.X) is a clinical diagnosis managed under Pulmonology. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Moderate,Yes,Curative,Rare
646,Early-Onset Dengue Fever,A90.X,Infectious Disease,"Early-Onset Dengue Fever (ICD-10: A90.X) is a clinical diagnosis managed under Infectious Disease. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Mild,Yes,Supportive,Rare
647,Interstitial Lung Disease,J84,Pulmonology,"Interstitial Lung Disease (ICD-10: J84) is a clinical diagnosis managed under Pulmonology. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Variable,Variable,Supportive,Common
648,Idiopathic Post-Traumatic Stress Disorder,F43.1.X,Psychiatry,"Idiopathic Post-Traumatic Stress Disorder (ICD-10: F43.1.X) is a clinical diagnosis managed under Psychiatry. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Moderate,No,Yes,Uncommon
649,Late-Onset Ischemic Heart Disease,I25.X,Cardiology,"Late-Onset Ischemic Heart Disease (ICD-10: I25.X) is a clinical diagnosis managed under Cardiology. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Severe,No,Curative,Common
650,Severe Obsessive-Compulsive Disorder Type 2,F42.X,Psychiatry,"Severe Obsessive-Compulsive Disorder Type 2 (ICD-10: F42.X) is a clinical diagnosis managed under Psychiatry. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Mild,Variable,Supportive,Rare
651,Moderate Typhoid Fever Type 3,A01.0.X,Infectious Disease,"Moderate Typhoid Fever Type 3 (ICD-10: A01.0.X) is a clinical diagnosis managed under Infectious Disease. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Mild,Yes,Supportive,Very Common
652,Mild Pleural Effusion,J90.X,Pulmonology,"Mild Pleural Effusion (ICD-10: J90.X) is a clinical diagnosis managed under Pulmonology. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Severe,Yes,Supportive,Common
653,Post-Operative Stable Angina Pectoris Type 1,I20.X,Cardiology,"Post-Operative Stable Angina Pectoris Type 1 (ICD-10: I20.X) is a clinical diagnosis managed under Cardiology. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Moderate,Yes,Curative,Rare
654,Drug-Induced Kawasaki Disease,M30.3.X,Pediatrics,"Drug-Induced Kawasaki Disease (ICD-10: M30.3.X) is a clinical diagnosis managed under Pediatrics. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Mild,Yes,Supportive,Common
655,Late-Onset Urticaria,L50.X,Dermatology,"Late-Onset Urticaria (ICD-10: L50.X) is a clinical diagnosis managed under Dermatology. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Mild,No,Yes,Very Common
656,Aortic Stenosis,I35.0,Cardiology,"Aortic Stenosis (ICD-10: I35.0) is a clinical diagnosis managed under Cardiology. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Mild,Variable,Supportive,Uncommon
657,Primary Febrile Seizures Type 1,R56.0.X,Pediatrics,"Primary Febrile Seizures Type 1 (ICD-10: R56.0.X) is a clinical diagnosis managed under Pediatrics. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Severe,Variable,Yes,Common
658,Congenital Fibromyalgia Type 2,M79.7.X,Rheumatology,"Congenital Fibromyalgia Type 2 (ICD-10: M79.7.X) is a clinical diagnosis managed under Rheumatology. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Mild,No,Curative,Uncommon
659,Chronic Cervical Spondylosis,M47.8.X,Orthopedics,"Chronic Cervical Spondylosis (ICD-10: M47.8.X) is a clinical diagnosis managed under Orthopedics. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Severe,No,Supportive,Rare
660,Idiopathic Rheumatoid Arthritis,M06.X,Rheumatology,"Idiopathic Rheumatoid Arthritis (ICD-10: M06.X) is a clinical diagnosis managed under Rheumatology. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Moderate,Yes,Yes,Common
661,Severe Age-Related Macular Degeneration,H35.3.X,Ophthalmology,"Severe Age-Related Macular Degeneration (ICD-10: H35.3.X) is a clinical diagnosis managed under Ophthalmology. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Moderate,Variable,Curative,Very Common
662,Influenza,J09,Infectious Disease,"Influenza (ICD-10: J09) is a clinical diagnosis managed under Infectious Disease. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Mild,Variable,Supportive,Common
663,Acute Ulcerative Colitis,K51.X,Gastroenterology,"Acute Ulcerative Colitis (ICD-10: K51.X) is a clinical diagnosis managed under Gastroenterology. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Variable,No,Curative,Uncommon
664,Mild Melanoma,C43.X,Obstetrics,"Mild Melanoma (ICD-10: C43.X) is a clinical diagnosis managed under Obstetrics. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Variable,Variable,Yes,Common
665,Early-Onset Pre-eclampsia,O14.X,Obstetrics,"Early-Onset Pre-eclampsia (ICD-10: O14.X) is a clinical diagnosis managed under Obstetrics. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Variable,Yes,Curative,Rare
666,Primary Heart Failure,I50.X,Cardiology,"Primary Heart Failure (ICD-10: I50.X) is a clinical diagnosis managed under Cardiology. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Severe,Yes,Supportive,Very Common
667,Secondary Seborrheic Dermatitis,L21.X,Dermatology,"Secondary Seborrheic Dermatitis (ICD-10: L21.X) is a clinical diagnosis managed under Dermatology. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Mild,Yes,Yes,Common
668,Cholecystitis,K81,General Surgery,"Cholecystitis (ICD-10: K81) is a clinical diagnosis managed under General Surgery. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Mild,Yes,Supportive,Common
669,Vitamin B12 Deficiency Anemia,D51,Hematology,"Vitamin B12 Deficiency Anemia (ICD-10: D51) is a clinical diagnosis managed under Hematology. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Mild,Variable,Yes,Common
670,Secondary Otitis Media,H65.X,ENT,"Secondary Otitis Media (ICD-10: H65.X) is a clinical diagnosis managed under ENT. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Mild,Yes,Yes,Very Common
