id,name,generic_name,category,manufacturer,dosage_form,strength,description,drug_class,prescription_required,storage
468,Ivermectin XR,Ivermectin XR,Antiepileptic,Max Healthcare Pharma,Tablet,25mg,Ivermectin XR 25mg Tablet is a antiparasitic used in the management of various conditions. Manufactured by Max Healthcare Pharma. Each tablet contains 25mg of active ingredient.,Antiparasitic,Yes,Store in dry place
469,Cephalexin,Cephalexin,Cardiac,Johnson & Johnson,Capsule,500mg,Cephalexin 500mg Capsule is a antibiotic used in the management of various conditions. Manufactured by Johnson & Johnson. Each capsule contains 500mg of active ingredient.,Antibiotic,Yes,Store away from light
470,Azathioprine SR,Azathioprine SR,Antiviral,Dr. Reddy's,Tablet,20mg,Azathioprine SR 20mg Tablet is a immunosuppressant used in the management of various conditions. Manufactured by Dr. Reddy's. Each tablet contains 20mg of active ingredient.,Immunosuppressant,Yes,Store away from light
471,Formoterol Plus,Formoterol,Statin,GSK India,Inhaler,50mg,Formoterol Plus 50mg Inhaler is a long-acting bronchodilator used in the management of various conditions. Manufactured by GSK India. Each inhaler contains 50mg of active ingredient.,Long-Acting Bronchodilator,No,Store in dry place
472,Morphine Forte,Morphine Forte,Ophthalmic,Wockhardt,Injection,500mg,Morphine Forte 500mg Injection is a opioid analgesic used in the management of various conditions. Manufactured by Wockhardt. Each injection contains 500mg of active ingredient.,Opioid Analgesic,Yes,Store below 25°C
473,Progesterone IV 472,Progesterone IV,Anticoagulant,Dr. Reddy's,Capsule,25mg,Progesterone IV 472 25mg Capsule is a progestogen used in the management of various conditions. Manufactured by Dr. Reddy's. Each capsule contains 25mg of active ingredient.,Progestogen,Yes,Refrigerate 2-8°C
474,Valsartan Junior,Valsartan Junior,Antipsychotic,IPCA Labs,Tablet,100mg,Valsartan Junior 100mg Tablet is a arb used in the management of various conditions. Manufactured by IPCA Labs. Each tablet contains 100mg of active ingredient.,ARB,Yes,Store in dry place
475,Atenolol XR,Atenolol XR,Ophthalmic,Sanofi India,Tablet,25mg,Atenolol XR 25mg Tablet is a beta blocker used in the management of various conditions. Manufactured by Sanofi India. Each tablet contains 25mg of active ingredient.,Beta Blocker,Yes,Store in dry place
476,Enoxaparin XR,Enoxaparin XR,Corticosteroid,Emcure Pharma,Injection,50mg,Enoxaparin XR 50mg Injection is a lmwh used in the management of various conditions. Manufactured by Emcure Pharma. Each injection contains 50mg of active ingredient.,LMWH,Yes,Store away from light
477,Liraglutide XR,Liraglutide XR,Anticoagulant,Pfizer India,Injection,100mg,Liraglutide XR 100mg Injection is a glp-1 agonist used in the management of various conditions. Manufactured by Pfizer India. Each injection contains 100mg of active ingredient.,GLP-1 Agonist,Yes,Refrigerate 2-8°C
478,Sodium Hyaluronate SR,Sodium Hyaluronate SR,Bronchodilator,Dabur Pharma,Eye Drops,10mg,Sodium Hyaluronate SR 10mg Eye Drops is a lubricant used in the management of various conditions. Manufactured by Dabur Pharma. Each eye drops contains 10mg of active ingredient.,Lubricant,Yes,Store below 25°C
479,Levofloxacin Junior,Levofloxacin Junior,Anticoagulant,Novartis India,Tablet,500mg,Levofloxacin Junior 500mg Tablet is a antibiotic used in the management of various conditions. Manufactured by Novartis India. Each tablet contains 500mg of active ingredient.,Antibiotic,Yes,Store below 25°C
480,Rivaroxaban IV,Rivaroxaban IV,Antihypertensive,Lupin,Tablet,25mg,Rivaroxaban IV 25mg Tablet is a noac used in the management of various conditions. Manufactured by Lupin. Each tablet contains 25mg of active ingredient.,NOAC,Yes,Store below 25°C
481,Piperacillin-Tazobactam Forte,Piperacillin-Tazobactam Forte,Antiviral,Sun Pharma,Injection,20mg,Piperacillin-Tazobactam Forte 20mg Injection is a antibiotic used in the management of various conditions. Manufactured by Sun Pharma. Each injection contains 20mg of active ingredient.,Antibiotic,Yes,Store below 25°C
482,Fluticasone Junior,Fluticasone Junior,Dermatological,Alkem Labs,Inhaler,1g,Fluticasone Junior 1g Inhaler is a corticosteroid used in the management of various conditions. Manufactured by Alkem Labs. Each inhaler contains 1g of active ingredient.,Corticosteroid,No,Store below 25°C
483,Sacubitril-Valsartan,Sacubitril-Valsartan,Antiviral,GSK India,Tablet,49/51mg,Sacubitril-Valsartan 49/51mg Tablet is a arni used in the management of various conditions. Manufactured by GSK India. Each tablet contains 49/51mg of active ingredient.,ARNi,Yes,Refrigerate 2-8°C
484,Pantoprazole,Pantoprazole,NSAID,Zydus Cadila,Tablet,40mg,Pantoprazole 40mg Tablet is a proton pump inhibitor used in the management of various conditions. Manufactured by Zydus Cadila. Each tablet contains 40mg of active ingredient.,Proton Pump Inhibitor,Yes,Store away from light
485,Bevacizumab XR 484,Bevacizumab XR,Statin,GSK India,Injection,20mg,Bevacizumab XR 484 20mg Injection is a vegf inhibitor used in the management of various conditions. Manufactured by GSK India. Each injection contains 20mg of active ingredient.,VEGF Inhibitor,No,Refrigerate 2-8°C
486,Loperamide IV,Loperamide IV,Antibiotic,Sun Pharma,Capsule,20mg,Loperamide IV 20mg Capsule is a antidiarrheal used in the management of various conditions. Manufactured by Sun Pharma. Each capsule contains 20mg of active ingredient.,Antidiarrheal,Yes,Store in dry place
487,Escitalopram Forte,Escitalopram Forte,Antimalarial,Aurobindo Pharma,Tablet,50mg,Escitalopram Forte 50mg Tablet is a ssri antidepressant used in the management of various conditions. Manufactured by Aurobindo Pharma. Each tablet contains 50mg of active ingredient.,SSRI Antidepressant,Yes,Store away from light
488,Levodopa-Carbidopa,Levodopa-Carbidopa,Oncology,Abbott India,Tablet,250/25mg,Levodopa-Carbidopa 250/25mg Tablet is a anti-parkinson used in the management of various conditions. Manufactured by Abbott India. Each tablet contains 250/25mg of active ingredient.,Anti-Parkinson,No,Store away from light
489,Isosorbide Mononitrate Forte,Isosorbide Mononitrate Forte,NSAID,GSK India,Tablet,10mg,Isosorbide Mononitrate Forte 10mg Tablet is a nitrate used in the management of various conditions. Manufactured by GSK India. Each tablet contains 10mg of active ingredient.,Nitrate,Yes,Store in dry place
490,Amitriptyline XR 489,Amitriptyline XR,Immunosuppressant,Torrent Pharma,Tablet,100mg,Amitriptyline XR 489 100mg Tablet is a tca antidepressant used in the management of various conditions. Manufactured by Torrent Pharma. Each tablet contains 100mg of active ingredient.,TCA Antidepressant,No,Store below 25°C
491,Canagliflozin IV 490,Canagliflozin IV,Antiepileptic,Emcure Pharma,Tablet,500mg,Canagliflozin IV 490 500mg Tablet is a sglt2 inhibitor used in the management of various conditions. Manufactured by Emcure Pharma. Each tablet contains 500mg of active ingredient.,SGLT2 Inhibitor,Yes,Store away from light
492,Nifedipine Junior,Nifedipine Junior,Statin,Alkem Labs,Tablet,10mg,Nifedipine Junior 10mg Tablet is a calcium channel blocker used in the management of various conditions. Manufactured by Alkem Labs. Each tablet contains 10mg of active ingredient.,Calcium Channel Blocker,Yes,Store below 25°C
493,Ipratropium Forte,Ipratropium Forte,Cardiac,Sun Pharma,Inhaler,100mg,Ipratropium Forte 100mg Inhaler is a anticholinergic used in the management of various conditions. Manufactured by Sun Pharma. Each inhaler contains 100mg of active ingredient.,Anticholinergic,No,Store in dry place
494,Dapagliflozin,Dapagliflozin,Immunosuppressant,Mankind Pharma,Tablet,10mg,Dapagliflozin 10mg Tablet is a sglt2 inhibitor used in the management of various conditions. Manufactured by Mankind Pharma. Each tablet contains 10mg of active ingredient.,SGLT2 Inhibitor,Yes,Store away from light
495,Dopamine Forte,Dopamine Forte,Immunosuppressant,Max Healthcare Pharma,Injection,100mg,Dopamine Forte 100mg Injection is a vasopressor used in the management of various conditions. Manufactured by Max Healthcare Pharma. Each injection contains 100mg of active ingredient.,Vasopressor,Yes,Store below 25°C
496,Clarithromycin Sustained Release,Clarithromycin,Antifungal,Max Healthcare Pharma,Tablet,1g,Clarithromycin Sustained Release 1g Tablet is a antibiotic used in the management of various conditions. Manufactured by Max Healthcare Pharma. Each tablet contains 1g of active ingredient.,Antibiotic,Yes,Refrigerate 2-8°C
497,Ondansetron Extended Release,Ondansetron,Vitamin/Supplement,Sun Pharma,Tablet,1g,Ondansetron Extended Release 1g Tablet is a antiemetic used in the management of various conditions. Manufactured by Sun Pharma. Each tablet contains 1g of active ingredient.,Antiemetic,Yes,Refrigerate 2-8°C
498,Azithromycin,Azithromycin,Vitamin/Supplement,Wockhardt,Tablet,500mg,Azithromycin 500mg Tablet is a antibiotic used in the management of various conditions. Manufactured by Wockhardt. Each tablet contains 500mg of active ingredient.,Antibiotic,Yes,Store away from light
499,Insulin Regular,Insulin Regular,Anticoagulant,Zydus Cadila,Injection,100U/ml,Insulin Regular 100U/ml Injection is a short-acting insulin used in the management of various conditions. Manufactured by Zydus Cadila. Each injection contains 100U/ml of active ingredient.,Short-Acting Insulin,Yes,Store away from light
500,Rituximab Forte,Rituximab Forte,Antidepressant,Zydus Cadila,Injection,1g,Rituximab Forte 1g Injection is a anti-cd20 monoclonal antibody used in the management of various conditions. Manufactured by Zydus Cadila. Each injection contains 1g of active ingredient.,Anti-CD20 Monoclonal Antibody,Yes,Store away from light
501,Lamivudine Forte,Lamivudine Forte,Bronchodilator,GSK India,Tablet,1g,Lamivudine Forte 1g Tablet is a antiretroviral used in the management of various conditions. Manufactured by GSK India. Each tablet contains 1g of active ingredient.,Antiretroviral,Yes,Store in dry place
502,Clindamycin,Clindamycin,NSAID,GSK India,Capsule,300mg,Clindamycin 300mg Capsule is a antibiotic used in the management of various conditions. Manufactured by GSK India. Each capsule contains 300mg of active ingredient.,Antibiotic,Yes,Store away from light
503,Vitamin D3,Vitamin D3,Antihypertensive,Novartis India,Tablet,60000IU,Vitamin D3 60000IU Tablet is a vitamin used in the management of various conditions. Manufactured by Novartis India. Each tablet contains 60000IU of active ingredient.,Vitamin,No,Refrigerate 2-8°C
504,Verapamil Plus,Verapamil,Antidiabetic,Mankind Pharma,Tablet,10mg,Verapamil Plus 10mg Tablet is a calcium channel blocker used in the management of various conditions. Manufactured by Mankind Pharma. Each tablet contains 10mg of active ingredient.,Calcium Channel Blocker,Yes,Store away from light
505,Digoxin,Digoxin,Oncology,Alkem Labs,Tablet,0.25mg,Digoxin 0.25mg Tablet is a cardiac glycoside used in the management of various conditions. Manufactured by Alkem Labs. Each tablet contains 0.25mg of active ingredient.,Cardiac Glycoside,Yes,Refrigerate 2-8°C
506,Clarithromycin XR,Clarithromycin XR,Analgesic,IPCA Labs,Tablet,10mg,Clarithromycin XR 10mg Tablet is a antibiotic used in the management of various conditions. Manufactured by IPCA Labs. Each tablet contains 10mg of active ingredient.,Antibiotic,No,Store below 25°C
507,Ondansetron Plus,Ondansetron,Analgesic,Aristo Pharma,Tablet,10mg,Ondansetron Plus 10mg Tablet is a antiemetic used in the management of various conditions. Manufactured by Aristo Pharma. Each tablet contains 10mg of active ingredient.,Antiemetic,No,Store below 25°C
508,Amitriptyline SR,Amitriptyline SR,Antidepressant,Mankind Pharma,Tablet,50mg,Amitriptyline SR 50mg Tablet is a tca antidepressant used in the management of various conditions. Manufactured by Mankind Pharma. Each tablet contains 50mg of active ingredient.,TCA Antidepressant,No,Store away from light
509,Carvedilol XR,Carvedilol XR,Analgesic,Dabur Pharma,Tablet,500mg,Carvedilol XR 500mg Tablet is a alpha-beta blocker used in the management of various conditions. Manufactured by Dabur Pharma. Each tablet contains 500mg of active ingredient.,Alpha-Beta Blocker,No,Store below 25°C
510,Acarbose Forte,Acarbose Forte,Analgesic,Abbott India,Tablet,100mg,Acarbose Forte 100mg Tablet is a alpha-glucosidase inhibitor used in the management of various conditions. Manufactured by Abbott India. Each tablet contains 100mg of active ingredient.,Alpha-Glucosidase Inhibitor,Yes,Refrigerate 2-8°C
511,Permethrin Plus,Permethrin,Antifungal,IPCA Labs,Cream,20mg,Permethrin Plus 20mg Cream is a antiparasitic used in the management of various conditions. Manufactured by IPCA Labs. Each cream contains 20mg of active ingredient.,Antiparasitic,Yes,Store away from light
512,Enoxaparin IV 511,Enoxaparin IV,Antimalarial,Torrent Pharma,Injection,1g,Enoxaparin IV 511 1g Injection is a lmwh used in the management of various conditions. Manufactured by Torrent Pharma. Each injection contains 1g of active ingredient.,LMWH,Yes,Store in dry place
513,Amlodipine Dispersible,Amlodipine Dispersible,Statin,Dr. Reddy's,Tablet,250mg,Amlodipine Dispersible 250mg Tablet is a calcium channel blocker used in the management of various conditions. Manufactured by Dr. Reddy's. Each tablet contains 250mg of active ingredient.,Calcium Channel Blocker,Yes,Store in dry place
514,Cotrimoxazole IV 513,Cotrimoxazole IV,Antiviral,Max Healthcare Pharma,Tablet,20mg,Cotrimoxazole IV 513 20mg Tablet is a antibiotic used in the management of various conditions. Manufactured by Max Healthcare Pharma. Each tablet contains 20mg of active ingredient.,Antibiotic,Yes,Store away from light
515,Iron Sucrose Sustained Release,Iron Sucrose,Proton Pump Inhibitor,Pfizer India,Injection,20mg,Iron Sucrose Sustained Release 20mg Injection is a iron supplement used in the management of various conditions. Manufactured by Pfizer India. Each injection contains 20mg of active ingredient.,Iron Supplement,Yes,Store away from light
516,Sacubitril-Valsartan Sustained Release 515,Sacubitril-Valsartan,Antidiabetic,Sun Pharma,Tablet,100mg,Sacubitril-Valsartan Sustained Release 515 100mg Tablet is a arni used in the management of various conditions. Manufactured by Sun Pharma. Each tablet contains 100mg of active ingredient.,ARNi,No,Store away from light
517,Carvedilol XR 516,Carvedilol XR,Antimalarial,Max Healthcare Pharma,Tablet,500mg,Carvedilol XR 516 500mg Tablet is a alpha-beta blocker used in the management of various conditions. Manufactured by Max Healthcare Pharma. Each tablet contains 500mg of active ingredient.,Alpha-Beta Blocker,No,Store below 25°C
518,Ferrous Sulfate Junior,Ferrous Sulfate Junior,Antimalarial,Novartis India,Tablet,500mg,Ferrous Sulfate Junior 500mg Tablet is a iron supplement used in the management of various conditions. Manufactured by Novartis India. Each tablet contains 500mg of active ingredient.,Iron Supplement,Yes,Refrigerate 2-8°C
519,Efavirenz,Efavirenz,Antiviral,Aurobindo Pharma,Tablet,600mg,Efavirenz 600mg Tablet is a antiretroviral used in the management of various conditions. Manufactured by Aurobindo Pharma. Each tablet contains 600mg of active ingredient.,Antiretroviral,Yes,Store in dry place
520,Clonazepam,Clonazepam,Ophthalmic,Pfizer India,Tablet,0.5mg,Clonazepam 0.5mg Tablet is a benzodiazepine used in the management of various conditions. Manufactured by Pfizer India. Each tablet contains 0.5mg of active ingredient.,Benzodiazepine,Yes,Store below 25°C
521,Clonazepam SR 520,Clonazepam SR,Immunosuppressant,Alkem Labs,Tablet,500mg,Clonazepam SR 520 500mg Tablet is a benzodiazepine used in the management of various conditions. Manufactured by Alkem Labs. Each tablet contains 500mg of active ingredient.,Benzodiazepine,Yes,Refrigerate 2-8°C
522,Diclofenac IV,Diclofenac IV,Antibiotic,Torrent Pharma,Tablet,1g,Diclofenac IV 1g Tablet is a nsaid used in the management of various conditions. Manufactured by Torrent Pharma. Each tablet contains 1g of active ingredient.,NSAID,No,Store below 25°C
523,Domperidone Dispersible,Domperidone Dispersible,Ophthalmic,Zydus Cadila,Tablet,20mg,Domperidone Dispersible 20mg Tablet is a prokinetic used in the management of various conditions. Manufactured by Zydus Cadila. Each tablet contains 20mg of active ingredient.,Prokinetic,Yes,Store in dry place
524,Lamotrigine,Lamotrigine,Anticoagulant,Sun Pharma,Tablet,50mg,Lamotrigine 50mg Tablet is a antiepileptic used in the management of various conditions. Manufactured by Sun Pharma. Each tablet contains 50mg of active ingredient.,Antiepileptic,Yes,Store below 25°C
525,Trastuzumab Sustained Release,Trastuzumab,Bronchodilator,Glenmark,Injection,100mg,Trastuzumab Sustained Release 100mg Injection is a her2 inhibitor used in the management of various conditions. Manufactured by Glenmark. Each injection contains 100mg of active ingredient.,HER2 Inhibitor,Yes,Store below 25°C
526,Tetracycline,Tetracycline,Oncology,Elder Pharma,Capsule,250mg,Tetracycline 250mg Capsule is a antibiotic used in the management of various conditions. Manufactured by Elder Pharma. Each capsule contains 250mg of active ingredient.,Antibiotic,Yes,Refrigerate 2-8°C
527,Esomeprazole IV,Esomeprazole IV,Antihypertensive,Torrent Pharma,Tablet,100mg,Esomeprazole IV 100mg Tablet is a proton pump inhibitor used in the management of various conditions. Manufactured by Torrent Pharma. Each tablet contains 100mg of active ingredient.,Proton Pump Inhibitor,No,Refrigerate 2-8°C
528,Tacrolimus Forte,Tacrolimus Forte,Antihypertensive,Aurobindo Pharma,Capsule,500mg,Tacrolimus Forte 500mg Capsule is a immunosuppressant used in the management of various conditions. Manufactured by Aurobindo Pharma. Each capsule contains 500mg of active ingredient.,Immunosuppressant,Yes,Store below 25°C
529,Acarbose Dispersible,Acarbose Dispersible,Corticosteroid,Cipla,Tablet,250mg,Acarbose Dispersible 250mg Tablet is a alpha-glucosidase inhibitor used in the management of various conditions. Manufactured by Cipla. Each tablet contains 250mg of active ingredient.,Alpha-Glucosidase Inhibitor,No,Store below 25°C
530,Levofloxacin XR,Levofloxacin XR,Immunosuppressant,Abbott India,Tablet,10mg,Levofloxacin XR 10mg Tablet is a antibiotic used in the management of various conditions. Manufactured by Abbott India. Each tablet contains 10mg of active ingredient.,Antibiotic,No,Store in dry place
531,Salmeterol Extended Release,Salmeterol,Ophthalmic,Aristo Pharma,Inhaler,20mg,Salmeterol Extended Release 20mg Inhaler is a long-acting bronchodilator used in the management of various conditions. Manufactured by Aristo Pharma. Each inhaler contains 20mg of active ingredient.,Long-Acting Bronchodilator,Yes,Store away from light
532,Pioglitazone Junior,Pioglitazone Junior,Proton Pump Inhibitor,Dabur Pharma,Tablet,250mg,Pioglitazone Junior 250mg Tablet is a thiazolidinedione used in the management of various conditions. Manufactured by Dabur Pharma. Each tablet contains 250mg of active ingredient.,Thiazolidinedione,Yes,Store away from light
533,Ticagrelor Extended Release,Ticagrelor,NSAID,Torrent Pharma,Tablet,25mg,Ticagrelor Extended Release 25mg Tablet is a antiplatelet used in the management of various conditions. Manufactured by Torrent Pharma. Each tablet contains 25mg of active ingredient.,Antiplatelet,No,Store in dry place
534,Trastuzumab Junior,Trastuzumab Junior,Immunosuppressant,Cipla,Injection,1g,Trastuzumab Junior 1g Injection is a her2 inhibitor used in the management of various conditions. Manufactured by Cipla. Each injection contains 1g of active ingredient.,HER2 Inhibitor,Yes,Store in dry place
535,Tetracycline XR,Tetracycline XR,Oncology,Aristo Pharma,Capsule,20mg,Tetracycline XR 20mg Capsule is a antibiotic used in the management of various conditions. Manufactured by Aristo Pharma. Each capsule contains 20mg of active ingredient.,Antibiotic,Yes,Refrigerate 2-8°C
536,Voriconazole XR,Voriconazole XR,Anticoagulant,Elder Pharma,Tablet,25mg,Voriconazole XR 25mg Tablet is a antifungal used in the management of various conditions. Manufactured by Elder Pharma. Each tablet contains 25mg of active ingredient.,Antifungal,Yes,Store in dry place
537,Insulin Regular Extended Release,Insulin Regular,Antimalarial,Dabur Pharma,Injection,250mg,Insulin Regular Extended Release 250mg Injection is a short-acting insulin used in the management of various conditions. Manufactured by Dabur Pharma. Each injection contains 250mg of active ingredient.,Short-Acting Insulin,Yes,Refrigerate 2-8°C
538,Voriconazole Forte 537,Voriconazole Forte,Cardiac,Dr. Reddy's,Tablet,10mg,Voriconazole Forte 537 10mg Tablet is a antifungal used in the management of various conditions. Manufactured by Dr. Reddy's. Each tablet contains 10mg of active ingredient.,Antifungal,No,Store away from light
539,Azathioprine Extended Release,Azathioprine,Antidepressant,Mankind Pharma,Tablet,250mg,Azathioprine Extended Release 250mg Tablet is a immunosuppressant used in the management of various conditions. Manufactured by Mankind Pharma. Each tablet contains 250mg of active ingredient.,Immunosuppressant,Yes,Store away from light
540,Amoxicillin,Amoxicillin,Ophthalmic,Sun Pharma,Capsule,500mg,Amoxicillin 500mg Capsule is a antibiotic used in the management of various conditions. Manufactured by Sun Pharma. Each capsule contains 500mg of active ingredient.,Antibiotic,Yes,Refrigerate 2-8°C
541,Gabapentin,Gabapentin,Dermatological,Sun Pharma,Capsule,300mg,Gabapentin 300mg Capsule is a antiepileptic/neuropathic pain used in the management of various conditions. Manufactured by Sun Pharma. Each capsule contains 300mg of active ingredient.,Antiepileptic/Neuropathic Pain,Yes,Refrigerate 2-8°C
542,Ketorolac Dispersible 541,Ketorolac Dispersible,NSAID,IPCA Labs,Injection,250mg,Ketorolac Dispersible 541 250mg Injection is a nsaid used in the management of various conditions. Manufactured by IPCA Labs. Each injection contains 250mg of active ingredient.,NSAID,Yes,Store away from light
543,Dextromethorphan Plus 542,Dextromethorphan,Cardiac,Novartis India,Syrup,25mg,Dextromethorphan Plus 542 25mg Syrup is a cough suppressant used in the management of various conditions. Manufactured by Novartis India. Each syrup contains 25mg of active ingredient.,Cough Suppressant,Yes,Refrigerate 2-8°C
544,Bisacodyl Forte,Bisacodyl Forte,Antiepileptic,Sanofi India,Tablet,20mg,Bisacodyl Forte 20mg Tablet is a laxative used in the management of various conditions. Manufactured by Sanofi India. Each tablet contains 20mg of active ingredient.,Laxative,Yes,Store away from light
545,Olmesartan,Olmesartan,Antipsychotic,GSK India,Tablet,20mg,Olmesartan 20mg Tablet is a arb used in the management of various conditions. Manufactured by GSK India. Each tablet contains 20mg of active ingredient.,ARB,Yes,Store below 25°C
546,Dobutamine,Dobutamine,Urological,Micro Labs,Injection,250mg/20ml,Dobutamine 250mg/20ml Injection is a inotrope used in the management of various conditions. Manufactured by Micro Labs. Each injection contains 250mg/20ml of active ingredient.,Inotrope,Yes,Store below 25°C
547,Methylprednisolone Plus 546,Methylprednisolone,Anticoagulant,Abbott India,Injection,20mg,Methylprednisolone Plus 546 20mg Injection is a corticosteroid used in the management of various conditions. Manufactured by Abbott India. Each injection contains 20mg of active ingredient.,Corticosteroid,Yes,Refrigerate 2-8°C
548,Desmopressin XR,Desmopressin XR,Immunosuppressant,Lupin,Tablet,20mg,Desmopressin XR 20mg Tablet is a adh analogue used in the management of various conditions. Manufactured by Lupin. Each tablet contains 20mg of active ingredient.,ADH Analogue,No,Store below 25°C
549,Fluoxetine,Fluoxetine,Hormonal,Cipla,Capsule,20mg,Fluoxetine 20mg Capsule is a ssri antidepressant used in the management of various conditions. Manufactured by Cipla. Each capsule contains 20mg of active ingredient.,SSRI Antidepressant,Yes,Store away from light
550,Salbutamol SR 549,Salbutamol SR,Dermatological,Micro Labs,Inhaler,50mg,Salbutamol SR 549 50mg Inhaler is a bronchodilator used in the management of various conditions. Manufactured by Micro Labs. Each inhaler contains 50mg of active ingredient.,Bronchodilator,Yes,Store below 25°C
551,Iron Sucrose IV 550,Iron Sucrose IV,Bronchodilator,Torrent Pharma,Injection,50mg,Iron Sucrose IV 550 50mg Injection is a iron supplement used in the management of various conditions. Manufactured by Torrent Pharma. Each injection contains 50mg of active ingredient.,Iron Supplement,Yes,Store below 25°C
552,Glimepiride Junior 551,Glimepiride Junior,Ophthalmic,Novartis India,Tablet,50mg,Glimepiride Junior 551 50mg Tablet is a sulfonylurea used in the management of various conditions. Manufactured by Novartis India. Each tablet contains 50mg of active ingredient.,Sulfonylurea,Yes,Store below 25°C
553,Hydrochlorothiazide,Hydrochlorothiazide,Ophthalmic,Emcure Pharma,Tablet,25mg,Hydrochlorothiazide 25mg Tablet is a diuretic used in the management of various conditions. Manufactured by Emcure Pharma. Each tablet contains 25mg of active ingredient.,Diuretic,Yes,Store in dry place
554,Fluoxetine Dispersible,Fluoxetine Dispersible,NSAID,Aristo Pharma,Capsule,100mg,Fluoxetine Dispersible 100mg Capsule is a ssri antidepressant used in the management of various conditions. Manufactured by Aristo Pharma. Each capsule contains 100mg of active ingredient.,SSRI Antidepressant,Yes,Store in dry place
555,Ipratropium Forte 554,Ipratropium Forte,Antibiotic,Himalaya,Inhaler,25mg,Ipratropium Forte 554 25mg Inhaler is a anticholinergic used in the management of various conditions. Manufactured by Himalaya. Each inhaler contains 25mg of active ingredient.,Anticholinergic,Yes,Store below 25°C
556,Chloroquine IV,Chloroquine IV,Antihypertensive,Dabur Pharma,Tablet,25mg,Chloroquine IV 25mg Tablet is a antimalarial used in the management of various conditions. Manufactured by Dabur Pharma. Each tablet contains 25mg of active ingredient.,Antimalarial,Yes,Store below 25°C
557,Nitroglycerine Extended Release,Nitroglycerine,Cardiac,Novartis India,Tablet,10mg,Nitroglycerine Extended Release 10mg Tablet is a nitrate used in the management of various conditions. Manufactured by Novartis India. Each tablet contains 10mg of active ingredient.,Nitrate,Yes,Store below 25°C
558,Prednisolone Extended Release 557,Prednisolone,Bronchodilator,Dabur Pharma,Tablet,10mg,Prednisolone Extended Release 557 10mg Tablet is a corticosteroid used in the management of various conditions. Manufactured by Dabur Pharma. Each tablet contains 10mg of active ingredient.,Corticosteroid,Yes,Refrigerate 2-8°C
559,Fenofibrate XR 558,Fenofibrate XR,Cardiac,Novartis India,Tablet,500mg,Fenofibrate XR 558 500mg Tablet is a fibrate used in the management of various conditions. Manufactured by Novartis India. Each tablet contains 500mg of active ingredient.,Fibrate,No,Refrigerate 2-8°C
560,Progesterone Sustained Release,Progesterone,NSAID,Aristo Pharma,Capsule,500mg,Progesterone Sustained Release 500mg Capsule is a progestogen used in the management of various conditions. Manufactured by Aristo Pharma. Each capsule contains 500mg of active ingredient.,Progestogen,Yes,Store below 25°C
561,Levofloxacin SR 560,Levofloxacin SR,Ophthalmic,Max Healthcare Pharma,Tablet,10mg,Levofloxacin SR 560 10mg Tablet is a antibiotic used in the management of various conditions. Manufactured by Max Healthcare Pharma. Each tablet contains 10mg of active ingredient.,Antibiotic,Yes,Store away from light
562,Betamethasone XR,Betamethasone XR,Urological,Himalaya,Cream,500mg,Betamethasone XR 500mg Cream is a topical corticosteroid used in the management of various conditions. Manufactured by Himalaya. Each cream contains 500mg of active ingredient.,Topical Corticosteroid,Yes,Store below 25°C
563,Sofosbuvir IV,Sofosbuvir IV,Anticoagulant,Pfizer India,Tablet,500mg,Sofosbuvir IV 500mg Tablet is a antiviral (hcv) used in the management of various conditions. Manufactured by Pfizer India. Each tablet contains 500mg of active ingredient.,Antiviral (HCV),Yes,Store in dry place
564,Testosterone Junior,Testosterone Junior,Anticoagulant,Johnson & Johnson,Injection,20mg,Testosterone Junior 20mg Injection is a androgen used in the management of various conditions. Manufactured by Johnson & Johnson. Each injection contains 20mg of active ingredient.,Androgen,Yes,Store in dry place
565,Vitamin C Junior,Vitamin C Junior,Vitamin/Supplement,IPCA Labs,Tablet,50mg,Vitamin C Junior 50mg Tablet is a vitamin used in the management of various conditions. Manufactured by IPCA Labs. Each tablet contains 50mg of active ingredient.,Vitamin,Yes,Store in dry place
566,Phenytoin Dispersible,Phenytoin Dispersible,Ophthalmic,Wockhardt,Capsule,10mg,Phenytoin Dispersible 10mg Capsule is a antiepileptic used in the management of various conditions. Manufactured by Wockhardt. Each capsule contains 10mg of active ingredient.,Antiepileptic,Yes,Store in dry place
567,Amlodipine IV,Amlodipine IV,Bronchodilator,Sanofi India,Tablet,20mg,Amlodipine IV 20mg Tablet is a calcium channel blocker used in the management of various conditions. Manufactured by Sanofi India. Each tablet contains 20mg of active ingredient.,Calcium Channel Blocker,No,Store away from light
568,Ticagrelor Sustained Release,Ticagrelor,Vitamin/Supplement,Max Healthcare Pharma,Tablet,10mg,Ticagrelor Sustained Release 10mg Tablet is a antiplatelet used in the management of various conditions. Manufactured by Max Healthcare Pharma. Each tablet contains 10mg of active ingredient.,Antiplatelet,Yes,Store in dry place
569,Vildagliptin Forte 568,Vildagliptin Forte,Antimalarial,Emcure Pharma,Tablet,20mg,Vildagliptin Forte 568 20mg Tablet is a dpp-4 inhibitor used in the management of various conditions. Manufactured by Emcure Pharma. Each tablet contains 20mg of active ingredient.,DPP-4 Inhibitor,Yes,Store below 25°C
