id,name,department,sample_type,description,turnaround_time,fasting_required,normal_range,cost_category
388,Typhoid Widal Test,Microbiology,Blood (Plain),Antibody test for Salmonella typhi,4 hours,No,See report,Advanced
389,Extended Serum Bilirubin (Total/Direct),Biochemistry,Blood (Plain),extended method of Measures bilirubin for jaundice evaluation,72 hours,No,Lab-specific,Standard
390,Bone Scan (DEXA),Radiology,—,Bone mineral density for osteoporosis diagnosis,2 hours,No,Standardized,Basic
391,Advanced GGT (Gamma-GT),Biochemistry,Blood (Plain),advanced method of Sensitive liver enzyme for alcohol and biliary disease,48 hours,Yes,Age/sex dependent,Advanced
392,Qualitative Troponin I/T,Biochemistry,Blood (Plain),qualitative method of High-sensitivity cardiac marker for acute MI,4 hours,8 hours,Age/sex dependent,Basic
393,Rheumatoid Factor (RF),Immunology,Blood (Plain),Antibody marker for rheumatoid arthritis,1 hour,Yes,See report,Basic
394,Lumbar Puncture (CSF Analysis),Neurology,CSF,CNS infection and demyelination diagnosis,1 hour,Yes,Age/sex dependent,Standard
395,Advanced Liver Biopsy,Pathology,Arterial Blood,advanced method of Hepatic fibrosis staging and diagnosis,2 hours,Yes,Lab-specific,Advanced
396,Confirmatory Ultrasound Thyroid,Radiology,—,confirmatory method of Evaluates thyroid gland morphology and nodules,2 hours,12 hours,Age/sex dependent,Basic
397,Advanced Ambulatory Blood Pressure Monitoring,Cardiology,—,advanced method of 24-hour blood pressure pattern assessment,1 hour,No,Age/sex dependent,Specialized
398,Advanced ANA (Antinuclear Antibody),Immunology,Blood (Plain),advanced method of Screening test for autoimmune disorders,48 hours,Yes,Age/sex dependent,Specialized
399,Extended Immunoglobulins (IgG/IgM/IgA),Immunology,Blood (Plain),extended method of Measures antibody levels for immunodeficiency,Same day,No,See report,Standard
400,MRI Knee,Radiology,—,"Ligament, meniscus, and cartilage evaluation",72 hours,8 hours,Standardized,Basic
401,Digital Mammography (400),Radiology,—,digital method of Breast tissue screening for cancer,4 hours,No,Age/sex dependent,Basic
402,Troponin I/T,Biochemistry,Blood (Plain),High-sensitivity cardiac marker for acute MI,24 hours,12 hours,Standardized,Basic
403,Immunoassay MRI Brain,Radiology,—,"immunoassay method of Detailed CNS imaging for tumors, MS, stroke",48 hours,12 hours,See report,Basic
404,Extended Coagulation Profile (PT/INR/aPTT),Hematology,Blood (Citrate),extended method of Assesses clotting factor function and anticoagulation therapy,1 hour,Yes,Age/sex dependent,Standard
405,Point-of-Care H. Pylori Antigen (Stool),Microbiology,Stool,point-of-care method of H. pylori infection detection in stool,48 hours,8 hours,Age/sex dependent,Basic
406,Conventional Vitamin D (25-OH) (405),Biochemistry,Blood (Plain),conventional method of Measures vitamin D status,24 hours,8 hours,Lab-specific,Advanced
407,Advanced Endometrial Biopsy,Pathology,Urine (Spot),advanced method of Uterine pathology assessment,2 hours,No,Standardized,Standard
408,Rapid Visual Evoked Potential (VEP),Neurology,—,rapid method of Optic nerve function assessment,Same day,No,Age/sex dependent,Specialized
409,Rapid Peak Expiratory Flow Rate (PEFR),Pulmonology,Breath,rapid method of Asthma monitoring tool,1 hour,8 hours,Age/sex dependent,Standard
410,Conventional Holter Monitor (24-hour ECG),Cardiology,—,conventional method of Continuous cardiac rhythm monitoring,48 hours,Yes,See report,Advanced
411,Digital Dengue NS1 Antigen,Microbiology,Blood (Plain),digital method of Early dengue fever detection antigen,1 hour,12 hours,Lab-specific,Standard
412,Quantitative X-Ray Spine (Cervical/Lumbar),Radiology,—,quantitative method of Evaluates vertebral alignment and disc spaces,48 hours,12 hours,Age/sex dependent,Basic
413,Rapid MRI Spine,Radiology,—,rapid method of Spinal cord and disc herniation assessment,4 hours,No,See report,Basic
414,Automated CD4 Count (T-Cell),Immunology,Blood (EDTA),automated method of HIV disease progression monitoring,Same day,Yes,See report,Advanced
415,Quantitative Cystoscopy,Endoscopy,—,quantitative method of Bladder and urethra direct visualization,Same day,Yes,See report,Specialized
416,Serial Serum Uric Acid,Biochemistry,Blood (Plain),serial method of Measures uric acid for gout and kidney stone assessment,Same day,No,Standardized,Advanced
417,Advanced Treadmill Test (TMT/Exercise Stress Test),Cardiology,—,advanced method of Exercise-induced cardiac ischemia assessment,6 hours,No,Standardized,Standard
418,High-Sensitivity Procalcitonin (417),Biochemistry,Blood (Plain),high-sensitivity method of Sepsis biomarker distinguishing bacterial from viral,2 hours,12 hours,Age/sex dependent,Standard
419,Qualitative Troponin I/T (418),Biochemistry,Blood (Plain),qualitative method of High-sensitivity cardiac marker for acute MI,4 hours,Yes,Lab-specific,Advanced
420,Quantitative X-Ray Abdomen (Erect) (419),Radiology,—,"quantitative method of Evaluates bowel obstruction, perforation",Same day,No,Age/sex dependent,Advanced
421,High-Sensitivity BCR-ABL PCR,Radiology,Blood (Citrate),high-sensitivity method of CML monitoring and diagnosis,1 hour,No,Standardized,Standard
422,Extended Core Needle Biopsy,Pathology,Urine (24h),extended method of Histological examination of solid tumors,48 hours,No,See report,Specialized
423,Upper GI Endoscopy (OGD Scope),Endoscopy,—,"Visualization of esophagus, stomach, duodenum",Same day,Yes,Standardized,Basic
424,Qualitative CT Scan Head (Plain/Contrast) (423),Radiology,—,"qualitative method of Brain imaging for stroke, tumor, trauma",48 hours,8 hours,Standardized,Standard
425,Digital Anti-HCV Antibody,Microbiology,Blood (Plain),digital method of Screens for hepatitis C infection,24 hours,8 hours,Age/sex dependent,Basic
426,Confirmatory MRSA Screening (425),Microbiology,Blood (Citrate),confirmatory method of Screens for methicillin-resistant Staphylococcus aureus,48 hours,No,Age/sex dependent,Specialized
427,Fluorescent Spirometry (PFT) (426),Pulmonology,Breath,fluorescent method of Lung function assessment for asthma and COPD,4 hours,8 hours,Lab-specific,Basic
428,Hemoglobin Estimation,Hematology,Blood (EDTA),Measures hemoglobin concentration in blood,2 hours,12 hours,Standardized,Specialized
429,Quantitative Ambulatory Blood Pressure Monitoring,Cardiology,—,quantitative method of 24-hour blood pressure pattern assessment,48 hours,8 hours,Age/sex dependent,Basic
430,Extended Serum Creatinine,Biochemistry,Blood (Plain),extended method of Kidney function marker measuring creatinine clearance,6 hours,Yes,Age/sex dependent,Standard
431,Quantitative Urine Routine and Microscopy,Biochemistry,Urine (Mid-Stream),"quantitative method of Screens for UTI, renal disease, metabolic disorders",4 hours,8 hours,Age/sex dependent,Standard
432,PET Scan,Radiology,—,Metabolic imaging for cancer staging and response,72 hours,Yes,Age/sex dependent,Basic
433,Digital Blood Culture and Sensitivity,Microbiology,Urine (Mid-Stream),digital method of Detects bacterial/fungal bloodstream infections,1 hour,8 hours,Lab-specific,Standard
434,Quantitative Urine Bence-Jones Protein (433),Biochemistry,Urine (24h),quantitative method of Multiple myeloma screening marker,6 hours,No,Age/sex dependent,Standard
435,Holter Monitor (24-hour ECG),Cardiology,—,Continuous cardiac rhythm monitoring,Same day,8 hours,See report,Advanced
436,Rapid JAK2 Mutation,Genetics,Blood (EDTA),rapid method of Polycythemia vera and MPN diagnosis,6 hours,No,See report,Basic
437,Digital Rheumatoid Factor (RF),Immunology,Blood (Plain),digital method of Antibody marker for rheumatoid arthritis,2 hours,12 hours,Standardized,Basic
438,Confirmatory Fasting Blood Glucose (437),Biochemistry,Blood (Fluoride Oxalate),confirmatory method of Measures blood sugar after 8-hour fast,1 hour,No,Lab-specific,Basic
439,Dengue IgM/IgG Antibodies,Microbiology,Blood (Plain),Serological diagnosis of dengue fever,6 hours,12 hours,Lab-specific,Standard
440,Rapid Allergy Panel (IgE),Immunology,Blood (Plain),rapid method of Identifies specific allergen sensitization,48 hours,8 hours,Lab-specific,Basic
441,Extended BAER (Brainstem Auditory Evoked Response),Neurology,—,extended method of Brainstem and auditory pathway assessment,48 hours,Yes,See report,Basic
442,Serial Serum Iron and TIBC,Biochemistry,Blood (Plain),serial method of Iron metabolism panel for anemia classification,72 hours,8 hours,Standardized,Basic
443,Qualitative Anti-HCV Antibody,Microbiology,Blood (Plain),qualitative method of Screens for hepatitis C infection,72 hours,12 hours,See report,Basic
444,High-Sensitivity Visual Field Test (Perimetry),Ophthalmology,—,high-sensitivity method of Peripheral vision assessment,4 hours,No,See report,Basic
445,Automated Post-Prandial Blood Glucose,Biochemistry,Blood (Fluoride Oxalate),automated method of Measures blood sugar 2 hours after meal,2 hours,8 hours,Standardized,Basic
446,Fluorescent Pulse Oximetry,Pulmonology,—,fluorescent method of Non-invasive SpO2 monitoring,4 hours,Yes,Lab-specific,Advanced
447,Rapid X-Ray Abdomen (Erect),Radiology,—,"rapid method of Evaluates bowel obstruction, perforation",24 hours,12 hours,Standardized,Specialized
448,High-Sensitivity Endometrial Biopsy,Pathology,Swab,high-sensitivity method of Uterine pathology assessment,Same day,Yes,Standardized,Basic
449,CD4 Count (T-Cell),Immunology,Blood (EDTA),HIV disease progression monitoring,6 hours,12 hours,Age/sex dependent,Specialized
450,Fluorescent Serum Iron and TIBC,Biochemistry,Blood (Plain),fluorescent method of Iron metabolism panel for anemia classification,4 hours,Yes,See report,Specialized
451,Extended HIV ELISA (1&2),Microbiology,Blood (Plain),extended method of Screening test for HIV infection,2 hours,Yes,Age/sex dependent,Basic
452,Confirmatory Serum Calcium (451),Biochemistry,Blood (Plain),confirmatory method of Measures total calcium for bone and parathyroid assessment,Same day,No,Lab-specific,Advanced
453,Serial MRI Brain,Radiology,—,"serial method of Detailed CNS imaging for tumors, MS, stroke",72 hours,8 hours,See report,Standard
454,Confirmatory Vitamin B12,Biochemistry,Blood (Plain),confirmatory method of Measures cobalamin for neuropathy and anemia,48 hours,No,Lab-specific,Standard
455,Advanced Bronchoscopy (454),Endoscopy,—,advanced method of Airway visualization and bronchial biopsy,6 hours,No,See report,Standard
456,Extended Endometrial Biopsy,Pathology,Stool,extended method of Uterine pathology assessment,Same day,8 hours,Age/sex dependent,Advanced
457,Qualitative Urine Routine and Microscopy,Biochemistry,Urine (Mid-Stream),"qualitative method of Screens for UTI, renal disease, metabolic disorders",2 hours,Yes,Age/sex dependent,Basic
458,Advanced Serum Iron and TIBC,Biochemistry,Blood (Plain),advanced method of Iron metabolism panel for anemia classification,Same day,No,Standardized,Basic
459,Automated X-Ray Spine (Cervical/Lumbar),Radiology,—,automated method of Evaluates vertebral alignment and disc spaces,24 hours,Yes,Age/sex dependent,Standard
460,Rapid HCG (Beta),Biochemistry,Stool,rapid method of Pregnancy test and testicular/trophoblastic tumor marker,48 hours,12 hours,Standardized,Basic
461,Fluorescent Liver Biopsy,Pathology,Sputum,fluorescent method of Hepatic fibrosis staging and diagnosis,2 hours,Yes,Lab-specific,Advanced
462,Qualitative PSA (Prostate Specific Antigen),Biochemistry,Blood (Plain),qualitative method of Prostate cancer screening marker,1 hour,Yes,Lab-specific,Basic
463,Rapid C-Peptide,Biochemistry,Blood (Plain),rapid method of Distinguishes Type 1 from Type 2 diabetes,6 hours,8 hours,Standardized,Advanced
464,Conventional ANCA (Anti-Neutrophil Cytoplasmic Antibody) (463),Immunology,Blood (Plain),conventional method of Vasculitis screening marker,2 hours,Yes,Standardized,Standard
465,Extended HIV ELISA (1&2) (464),Microbiology,Blood (Plain),extended method of Screening test for HIV infection,72 hours,Yes,Age/sex dependent,Standard
466,Allergy Panel (IgE),Immunology,Blood (Plain),Identifies specific allergen sensitization,2 hours,No,Lab-specific,Specialized
467,CRP (C-Reactive Protein),Biochemistry,Blood (Plain),Acute phase inflammatory marker,24 hours,8 hours,See report,Advanced
468,Conventional CT Scan Abdomen and Pelvis,Radiology,—,conventional method of Detailed abdominal organ and vascular imaging,4 hours,12 hours,See report,Advanced
469,CT Scan Abdomen and Pelvis,Radiology,—,Detailed abdominal organ and vascular imaging,72 hours,12 hours,Lab-specific,Standard
470,Advanced Urine Routine and Microscopy,Biochemistry,Urine (Mid-Stream),"advanced method of Screens for UTI, renal disease, metabolic disorders",Same day,8 hours,See report,Basic
471,Core Needle Biopsy,Pathology,Blood (Fluoride Oxalate),Histological examination of solid tumors,Same day,Yes,Standardized,Standard
472,Advanced Procalcitonin,Biochemistry,Blood (Plain),advanced method of Sepsis biomarker distinguishing bacterial from viral,24 hours,8 hours,Lab-specific,Advanced
473,Confirmatory Anti-CCP Antibody,Immunology,Blood (Plain),confirmatory method of Highly specific marker for rheumatoid arthritis,4 hours,12 hours,See report,Standard
474,Conventional Urine Bence-Jones Protein,Biochemistry,Urine (24h),conventional method of Multiple myeloma screening marker,6 hours,8 hours,See report,Basic
475,Immunoassay Urine Ketone Bodies,Biochemistry,Blood (Plain),immunoassay method of Diabetic ketoacidosis screening,24 hours,12 hours,See report,Basic
476,Rapid PET Scan,Radiology,—,rapid method of Metabolic imaging for cancer staging and response,24 hours,Yes,Age/sex dependent,Specialized
477,Post-Prandial Blood Glucose,Biochemistry,Blood (Fluoride Oxalate),Measures blood sugar 2 hours after meal,4 hours,Yes,Standardized,Specialized
478,Fluorescent Anti-TPO Antibody (477),Immunology,Blood (Plain),fluorescent method of Hashimoto's thyroiditis diagnosis,4 hours,12 hours,Standardized,Advanced
479,High-Sensitivity Sigmoidoscopy (478),Endoscopy,—,high-sensitivity method of Sigmoid colon and rectum examination,Same day,12 hours,See report,Specialized
480,Immunoassay Spirometry (PFT),Pulmonology,Breath,immunoassay method of Lung function assessment for asthma and COPD,4 hours,8 hours,Standardized,Standard
481,Digital Blood Culture and Sensitivity (480),Microbiology,Blood (Citrate),digital method of Detects bacterial/fungal bloodstream infections,24 hours,Yes,Age/sex dependent,Basic
482,Quantitative Folate Level,Biochemistry,Blood (Plain),quantitative method of Measures folic acid for megaloblastic anemia,Same day,No,Lab-specific,Standard
483,Digital Core Needle Biopsy (482),Pathology,Blood (Plain),digital method of Histological examination of solid tumors,4 hours,No,Age/sex dependent,Standard
484,High-Sensitivity Bone Marrow Biopsy,Hematology,Arterial Blood,high-sensitivity method of Histological examination of bone marrow for hematologic disorders,48 hours,12 hours,See report,Advanced
485,Extended Vitamin D (25-OH),Biochemistry,Blood (Plain),extended method of Measures vitamin D status,1 hour,12 hours,Lab-specific,Advanced
486,Point-of-Care Peak Expiratory Flow Rate (PEFR),Pulmonology,Breath,point-of-care method of Asthma monitoring tool,2 hours,12 hours,Standardized,Basic
487,Extended Hepatitis B Surface Antigen (HBsAg),Microbiology,Blood (Plain),extended method of Screens for active hepatitis B infection,72 hours,No,Lab-specific,Specialized
488,High-Sensitivity EMG (Electromyography),Neurology,—,high-sensitivity method of Muscle electrical activity assessment,6 hours,No,Age/sex dependent,Specialized
489,Extended HbA1c (Glycated Hemoglobin),Biochemistry,Blood (EDTA),extended method of 3-month average blood glucose control marker,6 hours,No,See report,Specialized
490,Point-of-Care Serum Bilirubin (Total/Direct),Biochemistry,Blood (Plain),point-of-care method of Measures bilirubin for jaundice evaluation,1 hour,8 hours,Standardized,Basic
491,Confirmatory Serum Lipase,Biochemistry,Blood (Plain),confirmatory method of More specific pancreatic enzyme than amylase,4 hours,12 hours,Age/sex dependent,Basic
492,Advanced Free T3 and T4,Biochemistry,Blood (Plain),advanced method of Thyroid hormone levels for hypo/hyperthyroidism,4 hours,12 hours,Age/sex dependent,Standard
493,Extended Anti-HCV Antibody,Microbiology,Blood (Plain),extended method of Screens for hepatitis C infection,48 hours,8 hours,See report,Advanced
494,Point-of-Care Spirometry (PFT),Pulmonology,Breath,point-of-care method of Lung function assessment for asthma and COPD,48 hours,8 hours,Standardized,Basic
495,Doppler Ultrasound (Arterial/Venous),Radiology,—,Blood flow assessment in vessels,6 hours,Yes,Standardized,Advanced
496,Extended Insulin Level,Biochemistry,Blood (Plain),extended method of Measures insulin for insulin resistance assessment,2 hours,No,Lab-specific,Specialized
497,Confirmatory Peripheral Blood Smear,Hematology,Blood (EDTA),confirmatory method of Microscopic examination of blood cells for morphology,24 hours,Yes,Age/sex dependent,Standard
498,Confirmatory Stool for Ova and Parasite,Microbiology,Stool,confirmatory method of Intestinal parasitic infection detection,Same day,12 hours,Lab-specific,Standard
499,Immunoassay BAER (Brainstem Auditory Evoked Response) (498),Neurology,—,immunoassay method of Brainstem and auditory pathway assessment,Same day,8 hours,See report,Basic
500,Fluorescent HCG (Beta),Biochemistry,Breath,fluorescent method of Pregnancy test and testicular/trophoblastic tumor marker,4 hours,12 hours,Lab-specific,Basic
501,Immunoassay H. Pylori Antigen (Stool),Microbiology,Stool,immunoassay method of H. pylori infection detection in stool,1 hour,12 hours,Standardized,Advanced
502,Advanced Spirometry (PFT),Pulmonology,Breath,advanced method of Lung function assessment for asthma and COPD,2 hours,Yes,See report,Advanced
503,Confirmatory Wound Swab Culture,Microbiology,Sputum,confirmatory method of Identifies pathogens in infected wounds,6 hours,Yes,See report,Standard
504,Point-of-Care Alkaline Phosphatase,Biochemistry,Blood (Plain),point-of-care method of Liver/bone enzyme elevated in cholestasis,24 hours,Yes,See report,Basic
505,High-Sensitivity PSA (Prostate Specific Antigen) (504),Biochemistry,Blood (Plain),high-sensitivity method of Prostate cancer screening marker,48 hours,Yes,Age/sex dependent,Basic
506,Extended Urine Routine and Microscopy,Biochemistry,Urine (Mid-Stream),"extended method of Screens for UTI, renal disease, metabolic disorders",Same day,Yes,Age/sex dependent,Basic
507,Quantitative PET Scan,Radiology,—,quantitative method of Metabolic imaging for cancer staging and response,72 hours,12 hours,Lab-specific,Standard
508,Immunoassay Pap Smear (507),Pathology,Breath,immunoassay method of Cervical cancer screening,72 hours,12 hours,Lab-specific,Basic
509,Qualitative Liver Biopsy,Pathology,Swab,qualitative method of Hepatic fibrosis staging and diagnosis,24 hours,No,Age/sex dependent,Specialized
510,Advanced Slit Lamp Examination,Ophthalmology,—,advanced method of Anterior segment eye examination,1 hour,12 hours,Standardized,Advanced
511,Qualitative HLA-B27,Immunology,Blood (EDTA),qualitative method of Genetic marker for ankylosing spondylitis,Same day,12 hours,Lab-specific,Basic
512,Point-of-Care Venereal Disease Research Lab (VDRL),Microbiology,Blood (Plain),point-of-care method of Syphilis screening test,72 hours,No,Standardized,Advanced
513,High-Sensitivity Sigmoidoscopy (512),Endoscopy,—,high-sensitivity method of Sigmoid colon and rectum examination,4 hours,No,Age/sex dependent,Basic
514,Extended Visual Field Test (Perimetry),Ophthalmology,—,extended method of Peripheral vision assessment,2 hours,12 hours,Standardized,Advanced
515,Conventional Serum Iron and TIBC (514),Biochemistry,Blood (Plain),conventional method of Iron metabolism panel for anemia classification,1 hour,No,See report,Specialized
516,Quantitative Bronchoscopy,Endoscopy,—,quantitative method of Airway visualization and bronchial biopsy,1 hour,12 hours,Age/sex dependent,Basic
517,Rapid Ultrasound Thyroid,Radiology,—,rapid method of Evaluates thyroid gland morphology and nodules,6 hours,No,Lab-specific,Advanced
518,Confirmatory CT Scan Head (Plain/Contrast),Radiology,—,"confirmatory method of Brain imaging for stroke, tumor, trauma",6 hours,Yes,Lab-specific,Specialized
519,Fluorescent OCT (Optical Coherence Tomography),Ophthalmology,—,fluorescent method of Retinal layer cross-sectional imaging,24 hours,No,Lab-specific,Specialized
520,Rapid BNP/NT-proBNP,Biochemistry,Blood (Plain),rapid method of Heart failure biomarker for ventricular stress,48 hours,Yes,Standardized,Basic
521,Serum Calcium,Biochemistry,Blood (Plain),Measures total calcium for bone and parathyroid assessment,72 hours,Yes,Lab-specific,Standard
522,Serial Urine Microalbumin,Biochemistry,Urine (Spot),serial method of Early diabetic nephropathy detection,2 hours,Yes,Lab-specific,Basic
523,Rapid EEG (Electroencephalogram),Neurology,—,rapid method of Brain electrical activity for seizure diagnosis,48 hours,Yes,Lab-specific,Advanced
524,BNP/NT-proBNP,Biochemistry,Blood (Plain),Heart failure biomarker for ventricular stress,6 hours,8 hours,Lab-specific,Advanced
525,Extended Blood Culture and Sensitivity,Microbiology,Stool,extended method of Detects bacterial/fungal bloodstream infections,24 hours,12 hours,See report,Standard
526,X-Ray Abdomen (Erect),Radiology,—,"Evaluates bowel obstruction, perforation",6 hours,12 hours,See report,Specialized
527,Automated BRCA1/BRCA2 Gene Testing,Genetics,Blood (EDTA),automated method of Hereditary breast/ovarian cancer risk assessment,Same day,8 hours,See report,Standard
528,Conventional Nerve Conduction Velocity (NCV) (527),Neurology,—,conventional method of Peripheral nerve function assessment,24 hours,Yes,Lab-specific,Advanced
529,Folate Level,Biochemistry,Blood (Plain),Measures folic acid for megaloblastic anemia,Same day,Yes,See report,Advanced
530,Digital Folate Level (529),Biochemistry,Blood (Plain),digital method of Measures folic acid for megaloblastic anemia,Same day,8 hours,See report,Standard
531,Point-of-Care Renal Biopsy,Pathology,Stool,point-of-care method of Glomerular disease classification,6 hours,8 hours,See report,Advanced
532,Conventional Treponema Pallidum Antibody (TPHA),Microbiology,Blood (Plain),conventional method of Confirmatory test for syphilis,72 hours,Yes,Lab-specific,Advanced
533,Point-of-Care Coagulation Profile (PT/INR/aPTT) (532),Hematology,Blood (Citrate),point-of-care method of Assesses clotting factor function and anticoagulation therapy,72 hours,No,Lab-specific,Basic
534,Conventional Sputum for AFB (Acid-Fast Bacilli),Microbiology,Sputum,conventional method of Screens for Mycobacterium tuberculosis,1 hour,No,See report,Advanced
535,Rapid Dengue NS1 Antigen,Microbiology,Blood (Plain),rapid method of Early dengue fever detection antigen,4 hours,Yes,Lab-specific,Specialized
536,High-Sensitivity Cystoscopy,Endoscopy,—,high-sensitivity method of Bladder and urethra direct visualization,48 hours,No,Age/sex dependent,Advanced
537,Automated Peak Expiratory Flow Rate (PEFR),Pulmonology,Breath,automated method of Asthma monitoring tool,72 hours,No,Standardized,Standard
538,Advanced Insulin Level,Biochemistry,Blood (Plain),advanced method of Measures insulin for insulin resistance assessment,6 hours,Yes,Lab-specific,Specialized
539,Conventional Serum Calcium,Biochemistry,Blood (Plain),conventional method of Measures total calcium for bone and parathyroid assessment,48 hours,Yes,Age/sex dependent,Standard
540,Immunoassay Bone Marrow Biopsy (539),Hematology,CSF,immunoassay method of Histological examination of bone marrow for hematologic disorders,72 hours,Yes,Standardized,Advanced
541,Confirmatory Serum Ferritin,Biochemistry,Blood (Plain),confirmatory method of Iron storage marker for anemia and iron overload,48 hours,Yes,Standardized,Advanced
542,Confirmatory Fine Needle Aspiration Cytology (FNAC),Pathology,Swab,confirmatory method of Cytological examination of nodules/masses,1 hour,12 hours,Standardized,Standard
543,Conventional CSF Culture and Analysis,Microbiology,CSF,conventional method of Evaluates meningitis and CNS infections,48 hours,No,See report,Specialized
544,Automated Bone Scan (DEXA),Radiology,—,automated method of Bone mineral density for osteoporosis diagnosis,1 hour,12 hours,Lab-specific,Basic
545,Advanced X-Ray Knee/Hip/Shoulder,Radiology,—,advanced method of Joint space evaluation for arthritis and fractures,4 hours,No,Lab-specific,Specialized
546,Confirmatory Stool for Occult Blood (FOB),Biochemistry,Stool,confirmatory method of Colorectal cancer and GI bleeding screening,24 hours,No,See report,Advanced
547,Qualitative COVID-19 Antigen Test,Microbiology,Tissue,qualitative method of Rapid antigen detection for COVID-19,24 hours,Yes,Age/sex dependent,Advanced
548,Confirmatory Visual Field Test (Perimetry),Ophthalmology,—,confirmatory method of Peripheral vision assessment,2 hours,8 hours,Standardized,Standard
549,Lipid Profile,Biochemistry,Blood (Plain),"Measures cholesterol, LDL, HDL, triglycerides",2 hours,No,See report,Standard
550,Conventional Serum Bilirubin (Total/Direct),Biochemistry,Blood (Plain),conventional method of Measures bilirubin for jaundice evaluation,24 hours,12 hours,Standardized,Basic
551,Digital HLA Typing,Genetics,Blood (EDTA),digital method of Organ transplant matching and disease association,Same day,No,Standardized,Specialized
552,Digital Free T3 and T4,Biochemistry,Blood (Plain),digital method of Thyroid hormone levels for hypo/hyperthyroidism,1 hour,No,Lab-specific,Basic
553,Rapid TSH (Thyroid Stimulating Hormone),Biochemistry,Blood (Plain),rapid method of Primary screening test for thyroid disorders,24 hours,Yes,Lab-specific,Advanced
554,Point-of-Care C-Peptide,Biochemistry,Blood (Plain),point-of-care method of Distinguishes Type 1 from Type 2 diabetes,Same day,8 hours,Lab-specific,Specialized
555,Serial BRCA1/BRCA2 Gene Testing,Genetics,Blood (EDTA),serial method of Hereditary breast/ovarian cancer risk assessment,24 hours,Yes,See report,Specialized
556,Urine Routine and Microscopy,Biochemistry,Urine (Mid-Stream),"Screens for UTI, renal disease, metabolic disorders",24 hours,12 hours,Standardized,Basic
557,H. Pylori Antigen (Stool),Microbiology,Stool,H. pylori infection detection in stool,72 hours,Yes,Age/sex dependent,Standard
558,Confirmatory CEA (Carcinoembryonic Antigen),Biochemistry,Blood (Plain),confirmatory method of Tumor marker for colorectal cancer monitoring,6 hours,12 hours,Standardized,Advanced
559,Automated COVID-19 RT-PCR,Microbiology,Stool,automated method of Molecular detection of SARS-CoV-2,6 hours,No,See report,Advanced
560,Serial Reticulocyte Count,Hematology,Blood (EDTA),serial method of Counts immature red blood cells to assess bone marrow activity,Same day,12 hours,See report,Basic
561,Quantitative Visual Evoked Potential (VEP) (560),Neurology,—,quantitative method of Optic nerve function assessment,72 hours,12 hours,Standardized,Advanced
562,Treponema Pallidum Antibody (TPHA),Microbiology,Blood (Plain),Confirmatory test for syphilis,4 hours,12 hours,Standardized,Standard
563,Immunoassay Serum Lipase (562),Biochemistry,Blood (Plain),immunoassay method of More specific pancreatic enzyme than amylase,4 hours,8 hours,Lab-specific,Advanced
564,Point-of-Care Peak Expiratory Flow Rate (PEFR) (563),Pulmonology,Breath,point-of-care method of Asthma monitoring tool,1 hour,8 hours,See report,Advanced
565,Digital Serum Phosphorus,Biochemistry,Blood (Plain),digital method of Measures phosphate for bone mineral metabolism,4 hours,No,Age/sex dependent,Basic
566,Immunoassay CEA (Carcinoembryonic Antigen),Biochemistry,Blood (Plain),immunoassay method of Tumor marker for colorectal cancer monitoring,Same day,Yes,Age/sex dependent,Advanced
567,Automated Serum Lipase,Biochemistry,Blood (Plain),automated method of More specific pancreatic enzyme than amylase,48 hours,8 hours,Standardized,Basic
568,Extended Alkaline Phosphatase (567),Biochemistry,Blood (Plain),extended method of Liver/bone enzyme elevated in cholestasis,1 hour,Yes,Lab-specific,Specialized
569,Serial Sigmoidoscopy (568),Endoscopy,—,serial method of Sigmoid colon and rectum examination,4 hours,8 hours,Age/sex dependent,Specialized
570,Serial Immunoglobulins (IgG/IgM/IgA),Immunology,Blood (Plain),serial method of Measures antibody levels for immunodeficiency,Same day,No,Standardized,Advanced
571,Extended Sigmoidoscopy,Endoscopy,—,extended method of Sigmoid colon and rectum examination,48 hours,No,Lab-specific,Specialized
572,Digital Bone Scan (DEXA),Radiology,—,digital method of Bone mineral density for osteoporosis diagnosis,Same day,No,Lab-specific,Standard
573,Fluorescent Cystoscopy,Endoscopy,—,fluorescent method of Bladder and urethra direct visualization,Same day,12 hours,Lab-specific,Standard
574,Rapid Urine Routine and Microscopy (573),Biochemistry,Urine (Mid-Stream),"rapid method of Screens for UTI, renal disease, metabolic disorders",2 hours,8 hours,Standardized,Standard
575,Digital Electrocardiogram (ECG/EKG) (574),Cardiology,—,digital method of 12-lead cardiac electrical activity recording,Same day,Yes,Age/sex dependent,Standard
576,Serial ANCA (Anti-Neutrophil Cytoplasmic Antibody),Immunology,Blood (Plain),serial method of Vasculitis screening marker,24 hours,12 hours,Lab-specific,Specialized
577,Immunoassay Rapid Plasma Reagin (RPR),Microbiology,Blood (Plain),immunoassay method of Syphilis activity monitoring test,48 hours,No,Lab-specific,Advanced
578,Digital H. Pylori Antigen (Stool) (577),Microbiology,Stool,digital method of H. pylori infection detection in stool,6 hours,No,Age/sex dependent,Specialized
579,Visual Field Test (Perimetry),Ophthalmology,—,Peripheral vision assessment,2 hours,No,See report,Advanced
580,Vitamin B12,Biochemistry,Blood (Plain),Measures cobalamin for neuropathy and anemia,24 hours,8 hours,See report,Advanced
